rank,word,sentence,tags
1,de,Soy {{de}} Perú.,frequency;generated;rank-001-020
2,la,Veo {{la}} casa.,frequency;generated;rank-001-020
3,que,Sé {{que}} puedes.,frequency;generated;rank-001-020
4,el,Leo {{el}} libro.,frequency;generated;rank-001-020
5,en,Vivo {{en}} Lima.,frequency;generated;rank-001-020
6,y,Ana {{y}} Luis comen.,frequency;generated;rank-001-020
7,a,Voy {{a}} casa.,frequency;generated;rank-001-020
8,los,Veo {{los}} niños.,frequency;generated;rank-001-020
9,no,Yo {{no}} quiero café.,frequency;generated;rank-001-020
10,un,Tengo {{un}} perro.,frequency;generated;rank-001-020
11,se,Ella {{se}} lava las manos.,frequency;generated;rank-001-020
12,por,Camino {{por}} el parque.,frequency;generated;rank-001-020
13,es,Madrid {{es}} grande.,frequency;generated;rank-001-020
14,del,Vengo {{del}} mercado.,frequency;generated;rank-001-020
15,las,Veo {{las}} flores rojas.,frequency;generated;rank-001-020
16,con,Estudio {{con}} Marta.,frequency;generated;rank-001-020
17,una,Quiero {{una}} manzana.,frequency;generated;rank-001-020
18,para,Este regalo es {{para}} ti.,frequency;generated;rank-001-020
19,lo,No {{lo}} entiendo.,frequency;generated;rank-001-020
20,su,Veo {{su}} casa pequeña.,frequency;generated;rank-001-020
