rank,variant,word,sentence,tags
1,1,de,Soy {{de}} Perú.,frequency;generated;rank-001-020
1,2,de,La mesa es {{de}} madera.,frequency;generated;spanish
1,3,de,Es hora {{de}} salir.,frequency;generated;spanish
2,1,la,Veo {{la}} casa.,frequency;generated;rank-001-020
2,2,la,Cierra {{la}} puerta.,frequency;generated;spanish
2,3,la,¿Conoces a {{la}} doctora?,frequency;generated;spanish
3,1,que,Sé {{que}} puedes.,frequency;generated;rank-001-020
3,2,que,El pan {{que}} compré está fresco.,frequency;generated;spanish
3,3,que,Espero {{que}} estés bien.,frequency;generated;spanish
4,1,el,Leo {{el}} libro.,frequency;generated;rank-001-020
4,2,el,Me duele {{el}} brazo.,frequency;generated;spanish
4,3,el,Hoy es {{el}} cumpleaños de Ana.,frequency;generated;spanish
5,1,en,Vivo {{en}} Lima.,frequency;generated;rank-001-020
5,2,en,Nos vemos {{en}} diez minutos.,frequency;generated;spanish
5,3,en,Escribe tu nombre {{en}} esta hoja.,frequency;generated;spanish
6,1,y,Ana {{y}} Luis comen.,frequency;generated;rank-001-020
6,2,y,Abre la puerta {{y}} pasa.,frequency;generated;spanish
6,3,y,Quiero pan {{y}} queso.,frequency;generated;spanish
7,1,a,Voy {{a}} casa.,frequency;generated;rank-001-020
7,2,a,Llamé {{a}} mi madre.,frequency;generated;spanish
7,3,a,Aprendo {{a}} cocinar.,frequency;generated;spanish
8,1,los,Veo {{los}} niños.,frequency;generated;rank-001-020
8,2,los,Lávate {{los}} dientes.,frequency;generated;spanish
8,3,los,Trabajo {{los}} martes.,frequency;generated;spanish
9,1,no,Yo {{no}} quiero café.,frequency;generated;rank-001-020
9,2,no,Hoy {{no}} tengo hambre.,frequency;generated;spanish
9,3,no,¿Por qué {{no}} vienes?,frequency;generated;spanish
10,1,un,Tengo {{un}} perro.,frequency;generated;rank-001-020
10,2,un,Llegó hace {{un}} minuto.,frequency;generated;spanish
10,3,un,¿Hay {{un}} baño cerca?,frequency;generated;spanish
11,1,se,Ella {{se}} lava las manos.,frequency;generated;rank-001-020
11,2,se,Aquí {{se}} vende pan.,frequency;generated;spanish
11,3,se,Mi hermano {{se}} llama Luis.,frequency;generated;spanish
12,1,por,Camino {{por}} el parque.,frequency;generated;rank-001-020
12,2,por,Gracias {{por}} venir.,frequency;generated;spanish
12,3,por,Pagamos diez pesos {{por}} persona.,frequency;generated;spanish
13,1,es,Madrid {{es}} grande.,frequency;generated;rank-001-020
13,2,es,¿De quién {{es}} esta mochila?,frequency;generated;spanish
13,3,es,Mi hermana {{es}} enfermera.,frequency;generated;spanish
14,1,del,Vengo {{del}} mercado.,frequency;generated;rank-001-020
14,2,del,El color {{del}} vestido es bonito.,frequency;generated;spanish
14,3,del,La clase empieza después {{del}} almuerzo.,frequency;generated;spanish
15,1,las,Veo {{las}} flores rojas.,frequency;generated;rank-001-020
15,2,las,Salimos a {{las}} ocho.,frequency;generated;spanish
15,3,las,¿Dónde dejaste {{las}} llaves?,frequency;generated;spanish
16,1,con,Estudio {{con}} Marta.,frequency;generated;rank-001-020
16,2,con,Corto el pan {{con}} un cuchillo.,frequency;generated;spanish
16,3,con,Quiero café {{con}} leche.,frequency;generated;spanish
