rank,variant,word,sentence,tags
1,1,die,Ich sehe {{die}} Frau.,frequency;generated;german
1,2,die,Mach bitte {{die}} Tür zu.,frequency;generated;german
1,3,die,Wo sind {{die}} Schlüssel?,frequency;generated;german
2,1,der,Das ist {{der}} Mann.,frequency;generated;german
2,2,der,Ich helfe {{der}} Frau.,frequency;generated;german
2,3,der,Heute ist {{der}} erste Schultag.,frequency;generated;german
3,1,und,Anna {{und}} Paul lernen Deutsch.,frequency;generated;german
3,2,und,Komm rein {{und}} setz dich.,frequency;generated;german
3,3,und,Ich kaufe Brot {{und}} Käse.,frequency;generated;german
4,1,in,Das Buch liegt {{in}} der Tasche.,frequency;generated;german
4,2,in,Wir fahren {{in}} die Stadt.,frequency;generated;german
4,3,in,Ich komme {{in}} zehn Minuten.,frequency;generated;german
5,1,das,Ich lese {{das}} Buch.,frequency;generated;german
5,2,das,Ist {{das}} dein Fahrrad?,frequency;generated;german
5,3,das,"Ich glaube, {{das}} stimmt.",frequency;generated;german
6,1,ich,Heute lerne {{ich}} Deutsch.,frequency;generated;german
6,2,ich,Darf {{ich}} hier sitzen?,frequency;generated;german
6,3,ich,Das mache {{ich}} selbst.,frequency;generated;german
7,1,ist,Das {{ist}} gut.,frequency;generated;german
7,2,ist,Meine Schwester {{ist}} Ärztin.,frequency;generated;german
7,3,ist,Wo {{ist}} mein Handy?,frequency;generated;german
8,1,nicht,Das ist {{nicht}} schwer.,frequency;generated;german
8,2,nicht,Ich kenne ihn {{nicht}}.,frequency;generated;german
8,3,nicht,Komm bitte {{nicht}} zu spät.,frequency;generated;german
9,1,zu,Ich gehe {{zu}} dir.,frequency;generated;german
9,2,zu,Der Kaffee ist {{zu}} heiß.,frequency;generated;german
9,3,zu,Ich habe keine Zeit {{zu}} kochen.,frequency;generated;german
10,1,den,Ich sehe {{den}} Hund.,frequency;generated;german
10,2,den,Gib mir bitte {{den}} Stift.,frequency;generated;german
10,3,den,Wir fahren mit {{den}} Kindern ans Meer.,frequency;generated;german
11,1,von,Das Geschenk ist {{von}} dir.,frequency;generated;german
11,2,von,Ich komme gerade {{von}} der Arbeit.,frequency;generated;german
11,3,von,Das ist ein Freund {{von}} mir.,frequency;generated;german
12,1,mit,Ich komme {{mit}} dir.,frequency;generated;german
12,2,mit,Wir fahren {{mit}} dem Bus.,frequency;generated;german
12,3,mit,Ich hätte gern Kaffee {{mit}} Milch.,frequency;generated;german
13,1,es,Heute ist {{es}} kalt.,frequency;generated;german
13,2,es,Mir geht {{es}} gut.,frequency;generated;german
13,3,es,Gibt {{es}} hier einen Supermarkt?,frequency;generated;german
14,1,ein,Das ist {{ein}} Buch.,frequency;generated;german
14,2,ein,Ich brauche {{ein}} Glas Wasser.,frequency;generated;german
14,3,ein,Hier wohnt {{ein}} guter Freund.,frequency;generated;german
15,1,auf,Das Buch liegt {{auf}} dem Tisch.,frequency;generated;german
15,2,auf,Ich warte {{auf}} den Bus.,frequency;generated;german
15,3,auf,Mach bitte das Fenster {{auf}}.,frequency;generated;german
16,1,für,Das Geschenk ist {{für}} dich.,frequency;generated;german
16,2,für,Danke {{für}} deine Hilfe.,frequency;generated;german
16,3,für,Ich bleibe {{für}} eine Woche.,frequency;generated;german
17,1,im,Wir sind {{im}} Park.,frequency;generated;german
17,2,im,{{Im}} Winter schneit es oft.,frequency;generated;german
17,3,im,Er liest {{im}} Bett.,frequency;generated;german
18,1,sie,Ich sehe {{sie}} heute.,frequency;generated;german
